frame_index,timestamp_s,state,detection_count,selected_x_px,selected_y_px,estimate_x_px,estimate_y_px,truth_x_px,truth_y_px,centroid_error_px,tracking_error_px,pointing_offset_px,pan_rate_deg_s,tilt_rate_deg_s,processing_time_ms
0,0.0,search,0,,,,,478.97536342852345,155.7757090545218,,179.90802473069309,179.90802473069309,0.0,0.0,25.804925000556977
1,0.03333333333333333,search,0,,,,,479.8461861169707,159.10458797980087,,179.15041418333095,179.15041418333095,0.0,0.0,25.21757999784313
2,0.06666666666666667,search,0,,,,,480.7008202773671,157.92529133855345,,180.446699719557,180.446699719557,0.0,0.0,24.09527999770944
3,0.1,search,0,,,,,483.38786061097187,163.17381003445158,,180.54876476911411,180.54876476911411,0.0,0.0,27.668038001138484
4,0.13333333333333333,search,0,,,,,482.41491985892026,164.35577472506083,,179.16655661764904,179.16655661764904,0.0,0.0,23.133402999519603
5,0.16666666666666666,search,0,,,,,484.27325744216864,165.66538595125576,,180.30900686442922,180.30900686442922,0.0,0.0,26.33269400030258
6,0.2,search,0,,,,,485.68639397401273,166.44277141720013,,181.28057542079358,181.28057542079358,0.0,0.0,25.186615999700734
7,0.23333333333333334,search,0,,,,,484.85093331308815,171.18513423971604,,178.637386802993,178.637386802993,0.0,0.0,24.491997999575688
8,0.26666666666666666,search,0,,,,,488.1600239064275,172.3287774146983,,181.26551797404744,181.26551797404744,0.0,0.0,24.99787600027048
9,0.3,search,0,,,,,486.3346236059112,173.44131694161928,,179.15709670729242,179.15709670729242,0.0,0.0,24.965546999737853
10,0.3333333333333333,search,0,,,,,488.81614259559365,174.84206313496546,,180.95426697749804,180.95426697749804,0.0,0.0,25.17760100090527
11,0.36666666666666664,search,0,,,,,488.3902794161893,177.35056144226579,,179.66702077304453,179.66702077304453,0.0,0.0,26.364902998466277
12,0.4,acquire,1,489.0925102599179,180.16005471956225,489.0925102599179,180.16005471956225,488.6640565502911,179.73036062272442,0.6068027670917924,179.1088870008036,179.1088870008036,7.0,2.9942412619699037,26.489693998883013
13,0.43333333333333335,acquire,1,484.15267044478793,186.84647089129314,484.5531974627954,186.3043297631096,484.41351074369015,186.43152865136702,0.49011705133193134,172.92016550331783,172.92016550331783,7.0,2.6881263332520153,25.384709999343613
14,0.4666666666666667,track,1,476.9102781546811,198.45997286295793,478.5427025627155,195.56918532345063,476.8341434378904,197.98907776243516,0.47701015796012997,162.36337682848156,162.36337682848156,7.0,2.2717766282912457,26.20847199796117
15,0.5,track,1,462.2804415315626,215.93980682994135,466.84591427639515,210.57293656136534,461.88275600603134,215.48941786248417,0.6008360834904973,143.98432237082943,143.98432237082943,7.0,1.4939754662155982,26.59874500022852
