frame_index,timestamp_s,state,detection_count,selected_x_px,selected_y_px,estimate_x_px,estimate_y_px,truth_x_px,truth_y_px,centroid_error_px,tracking_error_px,pointing_offset_px,pan_rate_deg_s,tilt_rate_deg_s,processing_time_ms
0,0.0,search,0,,,,,,,,,,6.0,0.0,38.22890700030257
1,0.03333333333333333,search,0,,,,,,,,,,6.0,0.0,38.97116900043329
2,0.06666666666666667,search,0,,,,,,,,,,6.0,0.0,38.816910000605276
3,0.1,search,0,,,,,,,,,,6.0,0.0,39.294877999054734
4,0.13333333333333333,search,0,,,,,,,,,,6.0,0.0,38.76187900095829
5,0.16666666666666666,search,0,,,,,,,,,,6.0,0.0,37.93452700119815
6,0.2,search,0,,,,,,,,,,6.0,0.0,39.105583000491606
7,0.23333333333333334,search,0,,,,,,,,,,6.0,0.0,39.27627399934863
8,0.26666666666666666,search,0,,,,,,,,,,6.0,0.0,40.58324899961008
9,0.3,search,0,,,,,,,,,,6.0,0.0,39.476021000155015
10,0.3333333333333333,search,0,,,,,,,,,,6.0,0.0,40.44849400088424
11,0.36666666666666664,search,0,,,,,,,,,,6.0,0.0,38.52463300063391
12,0.4,search,0,,,,,,,,,,6.0,0.0,40.25833400010015
13,0.43333333333333335,search,0,,,,,,,,,,6.0,0.0,40.13190799923905
14,0.4666666666666667,search,0,,,,,,,,,,6.0,0.0,38.529659001142136
15,0.5,search,0,,,,,,,,,,6.0,0.0,40.45035600029223
16,0.5333333333333333,search,0,,,,,,,,,,6.0,0.0,38.41154600013397
17,0.5666666666666667,search,0,,,,,,,,,,6.0,0.0,39.68070399969292
18,0.6,search,0,,,,,,,,,,6.0,0.0,40.39128299882577
19,0.6333333333333333,search,0,,,,,,,,,,5.0,0.0,39.92116699919279
20,0.6666666666666666,search,0,,,,,,,,,,3.333333333333326,0.0,38.17920599976787
21,0.7,search,0,,,,,,,,,,1.9999999999999973,0.0,39.620821000426076
22,0.7333333333333333,search,0,,,,,,,,,,-6.0,-6.0,40.36545599956298
23,0.7666666666666667,search,0,,,,,,,,,,-6.0,-6.0,40.53698700045061
24,0.8,search,0,,,,,,,,,,-6.0,-6.0,39.394584000547184
25,0.8333333333333334,search,0,,,,,,,,,,-6.0,-6.0,38.64276300009806
26,0.8666666666666667,search,0,,,,,,,,,,-6.0,-6.0,38.643406000119285
27,0.9,search,0,,,,,,,,,,-6.0,-5.0,38.9512530000502
28,0.9333333333333333,search,0,,,,,,,,,,-6.0,-3.333333333333328,37.786376999065396
29,0.9666666666666667,search,0,,,,,,,,,,-6.0,-1.9999999999999996,39.84377899905667
30,1.0,search,0,,,,,,,,,,-6.0,-0.9999999999999998,39.81132700027956
31,1.0333333333333334,search,0,,,,,,,,,,-6.0,-0.3333333333333288,39.62657599913655
